City_ID,City,Country,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
78,Mar Del Plata,AR,-38.0023,-57.5575,clear sky,62.62,77,0,15.01
79,Hobart,AU,-42.8794,147.3294,broken clouds,70.11,80,75,1.01
80,Orlik,RU,52.5178,99.825,overcast clouds,5.7,88,99,2.77
81,Kudahuvadhoo,MV,2.6708,72.8944,broken clouds,81.05,79,74,7.85
82,Uvinza,TZ,-5.1036,30.3911,overcast clouds,65.7,91,94,0.56
83,Wanaka,NZ,-44.7,169.15,overcast clouds,60.12,79,94,1.99
84,Kodinsk,RU,58.6881,99.1844,overcast clouds,6.24,92,100,3.33
85,Whitianga,NZ,-36.8333,175.7,overcast clouds,72.01,84,93,6.04
86,Mehamn,NO,71.0357,27.8492,light snow,33.98,64,20,26.46
87,Port Elizabeth,ZA,-33.918,25.5701,few clouds,66.09,92,15,0.63
88,Upernavik,GL,72.7868,-56.1549,light snow,26.22,81,100,9.62
89,Kil,SE,59.5072,13.314,overcast clouds,15.69,92,100,8.05
90,Butaritari,KI,3.0707,172.7902,light rain,81.97,78,99,11.48
91,Roald,NO,62.5833,6.1333,shower snow,33.01,93,40,8.05
92,Bahia Blanca,AR,-38.7196,-62.2724,clear sky,85.12,25,4,13.38
93,Longyearbyen,SJ,78.2186,15.6401,few clouds,6.64,66,20,6.91
94,Dubbo,AU,-32.25,148.6167,clear sky,64.53,94,0,8.05
95,Northam,GB,51.0333,-4.2167,broken clouds,45.61,70,56,14.36
96,Nemuro,JP,43.3236,145.575,clear sky,36.81,59,5,35.19
97,Albany,US,42.6001,-73.9662,overcast clouds,40.59,65,97,2.42
98,Padang,ID,-0.9492,100.3543,light rain,75.74,86,19,2.86
99,Ribeira Grande,PT,38.5167,-28.7,broken clouds,64.8,77,75,4.61
100,Saint-Joseph,RE,-21.3667,55.6167,broken clouds,71.98,73,54,10.47
101,Kaeo,NZ,-35.1,173.7833,overcast clouds,70.32,85,100,6.62
102,Husavik,IS,66.0449,-17.3389,overcast clouds,13.91,90,100,12.86
103,Coihueco,CL,-36.6167,-71.8333,few clouds,72.34,43,20,5.75
104,Catamarca,AR,-28.4696,-65.7852,few clouds,88.77,37,13,11.01
105,Buraydah,SA,26.326,43.975,clear sky,61.25,16,10,10.51
106,Port Hedland,AU,-20.3167,118.5667,broken clouds,80.65,78,70,8.05
107,Tuktoyaktuk,CA,69.4541,-133.0374,scattered clouds,-25.6,68,40,2.3
108,Nikolskoye,RU,59.7035,30.7861,broken clouds,21.09,97,57,4.32
109,Bethel,US,41.3712,-73.414,clear sky,47.05,53,1,0.0
110,Altay,CN,47.8667,88.1167,scattered clouds,20.32,48,35,8.55
111,Atambua,ID,-9.1061,124.8925,overcast clouds,74.62,83,100,1.43
112,Castro,BR,-24.7911,-50.0119,clear sky,76.42,50,0,3.94
113,Tiszaluc,HU,48.0333,21.0833,overcast clouds,44.38,79,93,15.77
114,Atasu,KZ,48.6814,71.6433,broken clouds,17.15,82,71,6.6
115,Bilibino,RU,68.0546,166.4372,overcast clouds,-18.35,100,100,2.3
116,Olbia,IT,40.9214,9.4856,few clouds,55.45,82,20,11.5
117,Hithadhoo,MV,-0.6,73.0833,overcast clouds,81.43,76,99,4.74
118,Kipushi,CD,-11.7667,27.2333,broken clouds,64.67,80,67,4.43
119,Mataura,NZ,-46.1927,168.8643,clear sky,60.48,59,4,0.67
120,Barrow,US,71.2906,-156.7887,broken clouds,-18.38,69,75,6.91
121,Narsaq,GL,60.9167,-46.05,snow,33.4,98,100,27.69
122,Port Blair,IN,11.6667,92.75,moderate rain,79.97,86,100,23.64
123,Aksarka,RU,66.5606,67.7975,overcast clouds,-1.64,98,100,9.98
124,Hofn,IS,64.2539,-15.2082,overcast clouds,26.22,59,100,5.84
125,Stromness,GB,58.965,-3.296,snow,34.05,55,100,32.95
126,Tshikapa,CD,-6.4167,20.8,broken clouds,69.64,97,72,1.79
127,Donegal,IE,54.65,-8.1167,light rain,42.84,79,74,8.79
128,Xinmin,CN,41.9908,122.8253,clear sky,26.85,67,0,9.86
129,Airai,TL,-8.9266,125.4092,overcast clouds,61.38,83,100,1.41
130,Esna,EG,25.2934,32.554,few clouds,66.22,43,22,16.82
131,Pemberton,CA,50.3164,-122.8027,overcast clouds,51.49,100,100,6.35
132,Nioki,CD,-2.7167,17.6833,overcast clouds,70.88,98,100,1.59
133,Kaitangata,NZ,-46.2817,169.8464,clear sky,62.26,68,7,3.31
134,Vangaindrano,MG,-23.35,47.6,light rain,73.24,93,100,4.54
