City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
113,Tiszaluc,HU,44.38,overcast clouds,48.0333,21.0833,
114,Atasu,KZ,17.15,broken clouds,48.6814,71.6433,Dostyk
116,Olbia,IT,55.45,few clouds,40.9214,9.4856,
117,Hithadhoo,MV,81.43,overcast clouds,-0.6,73.0833,
118,Kipushi,CD,64.67,broken clouds,-11.7667,27.2333,
119,Mataura,NZ,60.48,clear sky,-46.1927,168.8643,
121,Narsaq,GL,33.4,snow,60.9167,-46.05,
122,Port Blair,IN,79.97,moderate rain,11.6667,92.75,
124,Hofn,IS,26.22,overcast clouds,64.2539,-15.2082,
125,Stromness,GB,34.05,snow,58.965,-3.296,
126,Tshikapa,CD,69.64,broken clouds,-6.4167,20.8,
127,Donegal,IE,42.84,light rain,54.65,-8.1167,
128,Xinmin,CN,26.85,clear sky,41.9908,122.8253,
129,Airai,TL,61.38,overcast clouds,-8.9266,125.4092,
130,Esna,EG,66.22,few clouds,25.2934,32.554,
131,Pemberton,CA,51.49,overcast clouds,50.3164,-122.8027,
132,Nioki,CD,70.88,overcast clouds,-2.7167,17.6833,
133,Kaitangata,NZ,62.26,clear sky,-46.2817,169.8464,
134,Vangaindrano,MG,73.24,light rain,-23.35,47.6,
136,Clyde River,CA,7.03,snow,70.4692,-68.5914,
137,Daru,PG,77.95,heavy intensity rain,-9.0763,143.2092,
138,Cockburn Town,TC,78.76,broken clouds,21.4612,-71.1419,
139,Kodiak,US,15.31,light snow,57.79,-152.4072,
140,Thompson,CA,1.56,light snow,55.7435,-97.8558,
141,Port-Gentil,GA,78.76,moderate rain,-0.7193,8.7815,
143,Alice Springs,AU,63.95,clear sky,-23.7,133.8833,
144,Torata,PE,64.9,few clouds,-17.0769,-70.8433,
145,Hambantota,LK,75.61,clear sky,6.1241,81.1185,
146,Sao Paulo Do Potengi,BR,82.51,broken clouds,-5.895,-35.7628,
147,Najran,SA,56.05,clear sky,17.4924,44.1277,
149,Dakar,SN,74.28,overcast clouds,14.6937,-17.4441,
150,Lebu,CL,59.94,broken clouds,-37.6167,-73.65,
151,Krasnorechenskiy,RU,3.97,broken clouds,44.6265,135.3532,
152,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,
153,Chernitsyno,RU,24.28,few clouds,51.5074,36.051,
154,Shumskiy,RU,21.94,overcast clouds,54.8318,99.1328,
156,Grindavik,IS,30.67,snow,63.8424,-22.4338,
157,East London,ZA,69.42,light rain,-33.0153,27.9116,
158,Awbari,LY,58.53,overcast clouds,26.5921,12.7805,
159,Garden City,US,42.62,overcast clouds,42.3256,-83.331,
161,Mananjary,MG,75.24,light rain,-21.2167,48.3333,
162,Nishihara,JP,65.48,broken clouds,26.1842,127.7558,
163,Karratha,AU,82.35,clear sky,-20.7377,116.8463,
164,Kosh-Agach,RU,5.7,clear sky,50.0,88.6667,
165,Lipari,IT,56.79,broken clouds,38.4674,14.954,
166,Rio Grande,BR,71.71,broken clouds,-32.035,-52.0986,
167,Elburg,NL,44.08,overcast clouds,52.4475,5.8431,
168,Nanortalik,GL,34.29,moderate rain,60.1432,-45.2371,
169,Graaff-Reinet,ZA,67.93,scattered clouds,-32.2522,24.5308,
170,Esperance,AU,53.44,few clouds,-33.8667,121.9,
171,Mantua,IT,45.82,overcast clouds,45.1667,10.7833,
172,Cabo San Lucas,MX,84.51,scattered clouds,22.8909,-109.9124,
174,Gat,IL,65.08,overcast clouds,31.61,34.7642,
175,Tambilil,PH,77.95,broken clouds,5.9622,124.6697,
176,Domoni,KM,78.22,clear sky,-12.2569,44.5319,
177,Riosucio,CO,72.03,overcast clouds,5.4216,-75.7032,
178,Tororo,UG,66.83,overcast clouds,0.693,34.1809,
179,Tevaitoa,PF,80.4,moderate rain,-16.7833,-151.5,
180,Xichang,CN,48.15,overcast clouds,27.8964,102.2634,
181,Iqaluit,CA,6.53,light snow,63.7506,-68.5145,
182,Pangnirtung,CA,12.2,broken clouds,66.1451,-65.7125,
183,Bluff,NZ,60.8,clear sky,-46.6,168.3333,
184,Maragogi,BR,79.56,broken clouds,-9.0122,-35.2225,
185,Tiznit,MA,55.96,clear sky,29.5833,-9.5,
186,Acarau,BR,81.46,broken clouds,-2.8856,-40.12,
187,Chissamba,AO,62.96,overcast clouds,-12.1667,17.3333,
188,Lata,PT,52.81,overcast clouds,40.1629,-8.3327,
189,Westport,US,49.05,clear sky,41.1415,-73.3579,
191,Antalaha,MG,73.08,light rain,-14.9003,50.2788,
192,Vire,FR,42.19,scattered clouds,48.9167,-0.8333,
193,Horsham,GB,43.02,broken clouds,51.064,-0.3272,
194,Benguela,AO,77.49,overcast clouds,-12.5763,13.4055,
195,Koshurnikovo,RU,2.7,overcast clouds,54.1667,93.3,
196,Bredasdorp,ZA,59.29,overcast clouds,-34.5322,20.0403,
197,Kieta,PG,82.53,overcast clouds,-6.2167,155.6333,
198,Sao Filipe,CV,75.36,overcast clouds,14.8961,-24.4956,
199,Richards Bay,ZA,75.25,few clouds,-28.783,32.0377,
200,Sinnamary,GF,78.57,overcast clouds,5.3833,-52.95,
201,Sept-Iles,CA,26.06,snow,50.2001,-66.3821,
202,Puerto Escondido,MX,86.83,few clouds,15.85,-97.0667,
203,Yulara,AU,69.64,clear sky,-25.2406,130.9889,
204,Sorland,NO,28.47,overcast clouds,67.667,12.6934,
206,Barcelos,PT,51.94,overcast clouds,41.5388,-8.6151,
207,Missoula,US,56.55,broken clouds,47.0166,-113.8009,
209,Sao Felix Do Xingu,BR,77.59,overcast clouds,-6.6447,-51.995,
210,Mugur-Aksy,RU,7.63,clear sky,50.35,90.5,
211,Tessalit,ML,76.06,scattered clouds,20.1986,1.0114,
213,Georgetown,MY,78.73,light rain,5.4112,100.3354,
214,Hargeysa,SO,58.57,broken clouds,9.56,44.065,
215,Kyabe,TD,81.79,broken clouds,9.4515,18.9449,
217,Forecariah,GN,85.86,clear sky,9.4306,-13.0881,
218,Caucaia,BR,85.06,scattered clouds,-3.7361,-38.6531,
219,Calvinia,ZA,56.84,clear sky,-31.4707,19.776,
221,Howard Springs,AU,84.11,overcast clouds,-12.497,131.047,
222,Marzuq,YE,60.31,clear sky,14.4,46.4667,
223,Pisco,PE,70.02,clear sky,-13.7,-76.2167,
224,Morondava,MG,77.67,overcast clouds,-20.2833,44.2833,
225,Zverinogolovskoye,RU,36.88,overcast clouds,54.4586,64.8542,
226,Hamilton,US,51.73,broken clouds,39.1834,-84.5333,
227,Langham,CA,42.03,overcast clouds,52.3668,-106.9679,
228,Constitucion,CL,60.75,scattered clouds,-35.3333,-72.4167,
229,Koszalin,PL,45.68,overcast clouds,54.1944,16.1722,
230,North Bend,US,62.08,haze,43.4065,-124.2243,
231,Kavieng,PG,82.63,overcast clouds,-2.5744,150.7967,
232,Mahebourg,MU,77.29,few clouds,-20.4081,57.7,
233,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,
234,Isangel,VU,80.71,broken clouds,-19.55,169.2667,
235,Pokhara,NP,61.12,overcast clouds,28.2333,83.9833,
236,Svetlyy,RU,32.05,snow,54.675,20.1347,
237,Victoria,HK,61.25,broken clouds,22.2855,114.1577,
238,Baculin,PH,77.41,overcast clouds,7.4525,126.5842,
239,Waddan,LY,54.97,few clouds,29.1614,16.139,
240,Ancud,CL,58.53,broken clouds,-41.8697,-73.8203,
241,Burgersdorp,ZA,68.76,scattered clouds,-30.9977,26.3286,
242,Keti Bandar,PK,73.83,clear sky,24.1447,67.4497,
243,Nhulunbuy,AU,79.41,overcast clouds,-12.2333,136.7667,
244,Nuuk,GL,36.21,light rain,64.1835,-51.7216,
245,Urumqi,CN,7.75,mist,43.801,87.6005,
246,Selma,US,84.04,clear sky,36.5708,-119.6121,
247,Komsomolskiy,UZ,38.12,mist,40.4272,71.7189,
248,Krutikha,RU,5.85,broken clouds,53.9599,81.2093,
249,Paris,FR,45.1,scattered clouds,48.8534,2.3488,
250,Katsuura,JP,48.31,clear sky,35.1333,140.3,
251,Sao Paulo De Olivenca,BR,74.59,overcast clouds,-3.3783,-68.8725,
252,Honningsvag,NO,33.55,light shower snow,70.9821,25.9704,
253,Tecoanapa,MX,84.02,scattered clouds,16.5167,-98.75,
254,La Rioja,ES,40.48,overcast clouds,42.25,-2.5,
255,Olafsvik,IS,30.63,snow,64.8945,-23.7142,
256,Markova,UA,40.42,overcast clouds,48.6758,24.4138,
257,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,
258,La Ronge,CA,17.85,light snow,55.1001,-105.2842,
259,Moose Factory,CA,14.0,overcast clouds,51.2585,-80.6094,
260,Sistranda,NO,28.36,overcast clouds,63.7256,8.834,
261,Banamba,ML,78.31,scattered clouds,13.55,-7.45,
262,Bundaberg,AU,76.21,overcast clouds,-24.85,152.35,
264,Hovd,MN,15.66,clear sky,48.0056,91.6419,
265,Turkmenabat,TM,66.18,dust,39.0733,63.5786,
266,Sumbe,AO,77.77,broken clouds,-11.2061,13.8437,
267,Severo-Kurilsk,RU,44.91,moderate rain,50.6789,156.125,
268,Takaka,NZ,65.97,overcast clouds,-40.85,172.8,
269,Raudeberg,NO,31.87,overcast clouds,61.9875,5.1352,
270,Kutum,SD,67.24,clear sky,14.2,24.6667,
271,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,
272,Ayagoz,KZ,6.66,clear sky,47.9714,80.4392,
273,Faanui,PF,80.11,moderate rain,-16.4833,-151.75,
274,Terrace,CA,40.91,light intensity shower rain,54.5163,-128.6035,
275,Amapa,BR,75.09,overcast clouds,1.0,-52.0,
276,Maumere,ID,80.8,overcast clouds,-8.6199,122.2111,
277,Akyab,MM,71.31,few clouds,20.15,92.9,
278,Zhezkazgan,KZ,30.33,overcast clouds,47.8043,67.7144,
279,Camacupa,AO,62.15,overcast clouds,-12.0167,17.4833,
280,Cayenne,GF,82.44,few clouds,4.9333,-52.3333,
281,Toccoa,US,66.81,clear sky,34.5773,-83.3324,
282,Hirado,JP,44.1,clear sky,33.3597,129.5531,
283,Pringsewu,ID,72.39,broken clouds,-5.3582,104.9744,
284,Ewa Beach,US,84.15,clear sky,21.3156,-158.0072,
285,Hasaki,JP,46.8,clear sky,35.7333,140.8333,
286,Bambous Virieux,MU,77.25,few clouds,-20.3428,57.7575,
287,Pampas,PE,58.23,overcast clouds,-12.4,-74.9,
288,Maine-Soroa,NE,76.41,few clouds,13.2114,12.0241,
289,Chuy,UY,64.89,moderate rain,-33.6971,-53.4616,
290,Bengkulu,ID,74.21,light rain,-3.8004,102.2655,
291,Araouane,ML,76.19,broken clouds,18.9048,-3.5265,
292,Salalah,OM,77.09,clear sky,17.0151,54.0924,
293,Lagos,NG,82.72,broken clouds,6.5833,3.75,
294,Progreso,MX,86.11,clear sky,21.2833,-89.6667,
295,Xihe,CN,39.83,clear sky,31.6864,113.4659,
296,Phangnga,TH,78.84,light rain,8.4509,98.5298,
297,Pontianak,ID,75.18,broken clouds,-0.0333,109.3333,
299,Pundaguitan,PH,82.08,overcast clouds,6.3711,126.1689,
300,Takoradi,GH,80.38,overcast clouds,4.8845,-1.7554,
301,Arti,RU,36.75,overcast clouds,56.4234,58.5328,
303,Merrill,US,40.59,overcast clouds,45.1805,-89.6835,
304,Ponta Delgada,PT,64.51,few clouds,37.7333,-25.6667,
305,Ilulissat,GL,35.62,moderate rain,69.2167,-51.1,
306,Mogadishu,SO,81.36,overcast clouds,2.0371,45.3438,
308,Serafimovich,RU,28.62,overcast clouds,49.5786,42.736,
309,Pemangkat,ID,77.81,overcast clouds,1.1667,108.9667,
310,Emerald,AU,81.99,clear sky,-23.5333,148.1667,
311,Port Hardy,CA,51.98,light rain,50.6996,-127.4199,
312,Harper,LR,80.02,broken clouds,4.375,-7.7169,
313,Iralaya,HN,86.09,broken clouds,15.0,-83.2333,
316,Thap Than,TH,67.68,broken clouds,15.4606,99.8917,
317,Concepcion Del Oro,MX,68.94,broken clouds,24.6333,-101.4167,
318,Shubarshi,KZ,36.75,scattered clouds,48.5872,57.1869,
319,Ciranjang,ID,70.97,broken clouds,-6.7865,107.2832,
320,Palauig,PH,77.22,broken clouds,15.435,119.9045,
321,Itarema,BR,81.27,broken clouds,-2.9248,-39.9167,
322,Alofi,NU,78.69,light rain,-19.0595,-169.9187,
323,Mount Gambier,AU,58.91,overcast clouds,-37.8333,140.7667,
324,Port Macquarie,AU,70.9,overcast clouds,-31.4333,152.9167,
325,Baker City,US,52.83,clear sky,44.7749,-117.8344,
326,Cradock,ZA,66.42,clear sky,-32.1642,25.6192,
327,Smithers,CA,35.92,broken clouds,54.7804,-127.1743,
328,Teahupoo,PF,80.56,light rain,-17.8333,-149.2667,
329,Lubao,PH,78.82,broken clouds,14.9167,120.55,
330,Cassilandia,BR,82.33,overcast clouds,-19.1133,-51.7342,
332,Paita,PE,75.76,overcast clouds,-5.0892,-81.1144,
333,Yabelo,ET,59.43,broken clouds,4.8833,38.0833,
334,Vilhena,BR,71.82,moderate rain,-12.7406,-60.1458,
335,Tikapur,NP,65.03,overcast clouds,28.5,81.1333,
336,Aransas Pass,US,81.21,clear sky,27.9095,-97.15,
337,Severo-Yeniseyskiy,RU,14.9,overcast clouds,60.3725,93.0408,
338,Fortuna,US,63.66,clear sky,40.5982,-124.1573,
339,Pafos,CY,62.38,overcast clouds,34.7667,32.4167,
340,Franca,BR,74.71,overcast clouds,-20.5386,-47.4008,
341,Tambopata,PE,91.29,scattered clouds,-12.7333,-69.1833,
342,Villa Del Rosario,CO,84.58,scattered clouds,7.8339,-72.4742,
343,Puerto Ayacucho,VE,91.18,overcast clouds,5.6639,-67.6236,
344,Coquimbo,CL,67.73,few clouds,-29.9533,-71.3436,
345,Bilma,NE,72.52,clear sky,18.6853,12.9164,
346,Morro Bay,US,89.24,clear sky,35.3658,-120.8499,
347,Mahuta,TZ,68.41,scattered clouds,-10.8667,39.45,
348,Nouadhibou,MR,67.98,scattered clouds,20.931,-17.0347,
349,Fukue,JP,47.97,overcast clouds,32.6881,128.8419,
350,Dawlatabad,AF,57.15,few clouds,36.4141,64.9053,
351,Saldanha,ZA,60.85,overcast clouds,-33.0117,17.9442,
352,Qaqortoq,GL,33.24,snow,60.7167,-46.0333,
354,Panzhihua,CN,48.13,broken clouds,26.5851,101.7128,
355,Axim,GH,79.88,broken clouds,4.8699,-2.2405,
356,Kilindoni,TZ,80.94,scattered clouds,-7.9139,39.6668,
357,Avera,US,70.48,clear sky,33.194,-82.5271,
358,Morant Bay,JM,85.62,scattered clouds,17.8815,-76.4093,
359,Yuxia,CN,30.81,scattered clouds,34.0615,108.6291,
360,Nenjiang,CN,15.33,light snow,49.1833,125.2167,
361,Genhe,CN,7.75,overcast clouds,50.7833,121.5167,
362,Panji,ID,75.81,overcast clouds,-7.7253,114.0995,
365,Popondetta,PG,79.05,overcast clouds,-8.7537,148.2534,
366,Camana,PE,69.49,overcast clouds,-16.6228,-72.7111,
367,Broome,US,40.6,clear sky,42.2506,-75.833,
368,Lagoa,PT,62.69,few clouds,39.05,-27.9833,
369,Severodvinsk,RU,14.11,light snow,64.5635,39.8302,
371,Vila Franca Do Campo,PT,64.2,clear sky,37.7167,-25.4333,
372,Bandarbeyla,SO,77.0,clear sky,9.4942,50.8122,
373,Harnosand,SE,17.01,overcast clouds,62.6323,17.9379,
374,Badiraguato,MX,90.7,overcast clouds,25.3667,-107.5167,
375,Beni Mazar,EG,62.13,overcast clouds,28.4962,30.8029,
376,Pangai,TO,75.31,light rain,-19.8,-174.35,
377,Ambulu,ID,75.81,overcast clouds,-8.345,113.6058,
378,Havoysund,NO,34.03,overcast clouds,70.9963,24.6622,
379,Bella Union,UY,82.54,overcast clouds,-30.2752,-57.6007,
380,Namatanai,PG,81.84,broken clouds,-3.6667,152.4333,
381,Lompoc,US,89.1,clear sky,34.6391,-120.4579,
382,Atbasar,KZ,29.75,light snow,51.8,68.3333,
383,Passagem Franca,BR,82.17,overcast clouds,-6.1797,-43.7836,
384,Sovetskiy,RU,32.02,snow,61.3614,63.5842,
385,Xining,CN,19.67,clear sky,36.6167,101.7667,
386,Juneau,US,37.85,light rain,58.3019,-134.4197,
387,Minab,IR,63.9,clear sky,27.1467,57.0801,
388,Raahe,FI,20.01,light snow,64.6833,24.4833,
391,Maceio,BR,85.44,clear sky,-9.6658,-35.7353,
392,Hammerfest,NO,30.65,light shower snow,70.6634,23.6821,
393,Bambanglipuro,ID,76.98,overcast clouds,-7.95,110.2833,
394,Klaksvik,FO,32.92,overcast clouds,62.2266,-6.589,
395,Winnemucca,US,54.1,clear sky,40.973,-117.7357,
396,Samana,DO,84.42,scattered clouds,19.2056,-69.3369,
397,Jiexiu,CN,32.5,clear sky,37.0244,111.9125,
398,Kijang,KR,29.93,clear sky,35.2442,129.2139,
399,Wanning,CN,64.89,overcast clouds,18.8003,110.3967,
400,Geraldton,AU,59.41,clear sky,-28.7667,114.6,
401,Basco,PH,71.65,overcast clouds,20.4487,121.9702,
402,Namibe,AO,70.3,overcast clouds,-15.1961,12.1522,
403,Naron,ES,54.59,overcast clouds,43.5167,-8.1528,
404,Adrar,MR,71.53,overcast clouds,20.5022,-10.0711,
405,Corn Island,NI,80.8,overcast clouds,12.1694,-83.0418,
407,Gizo,SB,83.43,light rain,-8.103,156.8419,
408,Saint-Pierre,RE,73.08,few clouds,-21.3393,55.4781,
409,Shelekhov,RU,26.98,light snow,52.2139,104.1,
410,Poum,NC,81.54,few clouds,-20.2333,164.0167,
411,Palana,RU,17.2,light snow,59.1167,159.9667,
412,Papenburg,DE,42.31,overcast clouds,53.0667,7.4,
413,Guarapari,BR,80.49,few clouds,-20.6667,-40.4975,
414,Abbeville,FR,44.56,light rain,50.1,1.8333,
415,Puerto Narino,CO,89.55,overcast clouds,-3.7703,-70.3831,
416,Arlit,NE,73.71,overcast clouds,18.7369,7.3853,
417,Hauge,NO,30.58,broken clouds,58.3436,6.2812,
419,Tezu,IN,63.09,overcast clouds,27.9167,96.1667,
420,Shanghai,CN,41.94,clear sky,31.2222,121.4581,
421,Bud,US,48.29,broken clouds,39.447,-86.1758,
422,Dalvik,IS,13.93,overcast clouds,65.9702,-18.5286,
423,Astaneh-Ye Ashrafiyeh,IR,57.07,few clouds,37.2596,49.9444,
424,Robore,BO,86.4,overcast clouds,-18.3333,-59.75,
425,Shingu,JP,39.94,clear sky,33.7333,135.9833,
