City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,Batagay-Alyta,67.8006,130.4114,-23.17,97,97,3.8,RU,2021-11-29 19:36:42
152,Khatanga,71.9667,102.5,-28.57,100,95,5.32,RU,2021-11-29 19:36:43
153,Katete,-0.7818,29.7544,60.73,97,100,2.93,UG,2021-11-29 19:36:43
154,Kangaatsiaq,68.3065,-53.4641,32.65,98,100,9.48,GL,2021-11-29 19:36:44
155,Mondovi,44.396,7.8176,43.75,57,0,4.18,IT,2021-11-29 19:36:44
156,Warmbad,-28.45,18.7333,68.0,38,6,20.47,NA,2021-11-29 19:36:45
157,Mananjary,-21.2167,48.3333,72.95,85,86,3.89,MG,2021-11-29 19:36:45
158,Inhambane,-23.865,35.3833,73.35,75,0,11.52,MZ,2021-11-29 19:36:46
159,Donskoye,45.4552,41.9741,55.53,50,100,14.03,RU,2021-11-29 19:36:46
160,Westport,41.1415,-73.3579,42.84,61,1,7.0,US,2021-11-29 19:36:46
161,Uulu,58.2789,24.5774,27.95,92,100,18.66,EE,2021-11-29 19:36:47
162,Concepcion Del Oro,24.6333,-101.4167,62.4,45,16,1.57,MX,2021-11-29 19:36:47
163,San Policarpo,12.1791,125.5072,80.33,81,100,3.47,PH,2021-11-29 19:36:48
164,Kavaratti,10.5669,72.642,81.84,78,91,13.2,IN,2021-11-29 19:36:48
165,Coatesville,39.9832,-75.8238,43.45,56,20,5.99,US,2021-11-29 19:36:49
166,Asmara,15.3333,38.9333,52.18,86,38,4.63,ER,2021-11-29 19:36:49
167,Sompeta,18.9333,84.6,71.13,55,8,5.32,IN,2021-11-29 19:36:50
168,Novikovo,51.1537,37.8879,54.32,81,100,25.12,RU,2021-11-29 19:36:50
169,Longyearbyen,78.2186,15.6401,5.02,80,33,8.25,SJ,2021-11-29 19:36:51
170,Sao Carlos,-22.0175,-47.8908,81.43,60,94,8.16,BR,2021-11-29 19:36:51
171,Buala,-8.145,159.5921,81.55,80,100,5.53,SB,2021-11-29 19:36:52
172,Tingi,-11.3,35.0333,66.42,81,5,4.25,TZ,2021-11-29 19:36:52
173,Sembakung,3.8167,117.25,73.11,97,98,1.59,ID,2021-11-29 19:36:52
174,Cabo San Lucas,22.8909,-109.9124,86.18,61,40,4.0,MX,2021-11-29 19:33:55
